relatives_1st_als,relatives_2nd_als,relatives_3rd_als,n,n_mendelian,n_non_mendelian,PPV,PPV_CI_low,PPV_CI_high,prevalence,criterion_label
0,0,0,215115,12437,202678,0.058,NA,NA,215115 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0
0,0,1,8557,1715,6842,0.2,0.192,0.209,8557 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=1
0,0,2,877,468,409,0.534,0.501,0.566,877 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=2
0,0,3,131,103,28,0.786,0.71,0.846,131 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=3
0,0,4,32,25,7,0.781,0.623,0.879,32 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=4
0,0,5,16,13,3,0.812,0.596,0.908,16 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=5
0,1,0,13956,6121,7835,0.439,0.43,0.447,13956 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=0
0,1,1,1970,1403,567,0.712,0.692,0.732,1970 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=1
0,1,2,469,411,58,0.876,0.844,0.903,469 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=2
0,1,3,134,124,10,0.925,0.87,0.957,134 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=3
0,1,4,48,43,5,0.896,0.786,0.947,48 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=4
0,1,5,20,19,1,0.95,0.795,0.96,20 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=5
0,2,0,1693,1299,394,0.767,0.747,0.787,1693 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=0
0,2,1,543,488,55,0.899,0.871,0.921,543 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=1
0,2,2,232,211,21,0.909,0.866,0.939,232 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=2
0,2,3,100,90,10,0.9,0.829,0.942,100 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=3
0,2,4,34,32,2,0.941,0.825,0.968,34 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=4
0,2,5,23,22,1,0.957,0.818,0.964,23 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=5
0,3,0,280,253,27,0.904,0.864,0.932,280 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=0
0,3,1,148,134,14,0.905,0.849,0.941,148 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=1
0,3,2,81,71,10,0.877,0.791,0.928,81 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=2
0,3,3,36,34,2,0.944,0.834,0.97,36 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=3
0,3,4,18,18,0,1,0.891,0.933,18 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=4
0,3,5,20,19,1,0.95,0.795,0.96,20 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=5
0,4,0,39,37,2,0.949,0.845,0.972,39 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=0
0,4,1,21,19,2,0.905,0.735,0.95,21 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=1
0,4,2,12,12,0,1,0.844,0.914,12 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=2
0,4,3,16,13,3,0.812,0.596,0.908,16 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=3
0,4,4,5,5,0,1,0.686,0.88,5 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=4
0,4,5,7,7,0,1,0.756,0.89,7 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=5
0,5,0,8,8,0,1,0.78,0.895,8 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=5; 3rd_ALS=0
0,5,1,2,2,0,1,0.439,0.904,2 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=5; 3rd_ALS=1
0,5,2,5,5,0,1,0.686,0.88,5 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=5; 3rd_ALS=2
0,5,3,4,4,0,1,0.633,0.878,4 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=5; 3rd_ALS=3
0,5,5,8,8,0,1,0.78,0.895,8 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=5; 3rd_ALS=5
1,0,0,13791,6073,7718,0.44,0.432,0.449,13791 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=0
1,0,1,1302,916,386,0.704,0.678,0.728,1302 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=1
1,0,2,285,252,33,0.884,0.842,0.916,285 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=2
1,0,3,93,89,4,0.957,0.899,0.979,93 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=3
1,0,4,16,15,1,0.938,0.754,0.951,16 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=4
1,0,5,11,10,1,0.909,0.671,0.935,11 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=5
1,1,0,3952,3383,569,0.856,0.845,0.867,3952 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=0
1,1,1,941,874,67,0.929,0.911,0.943,941 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=1
1,1,2,289,282,7,0.976,0.952,0.987,289 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=2
1,1,3,109,106,3,0.972,0.927,0.986,109 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=3
1,1,4,33,33,0,1,0.939,0.957,33 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=4
1,1,5,19,18,1,0.947,0.786,0.958,19 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=1; 3rd_ALS=5
1,2,0,893,850,43,0.952,0.936,0.964,893 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=2; 3rd_ALS=0
1,2,1,411,400,11,0.973,0.953,0.984,411 out of 272651 simulated index patients,1st_ALS=1; 2nd_ALS=2; 3rd_ALS=1
