ALSFTD_common,ALSFTD_rare,h2als,relatives_1st_als,relatives_2nd_als,relatives_3rd_als,n,n_mendelian,n_non_mendelian,PPV,PPV_CI_low,PPV_CI_high,prevalence,criterion_label
0.1,0.3,0.2,0,0,0,44192,2115,42077,0.048,0.046,0.05,44192 out of 49895 patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0
0.1,0.3,0.2,0,0,1,1401,224,1177,0.16,0.142,0.18,1401 out of 49895 patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=1
0.1,0.3,0.2,0,0,2,69,35,34,0.507,0.395,0.619,69 out of 49895 patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=2
0.1,0.3,0.2,0,0,3,6,4,2,0.667,0.358,0.845,6 out of 49895 patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=3
0.1,0.3,0.2,0,0,5,1,1,0,1,0.207,1,1 out of 49895 patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=5
0.1,0.3,0.2,0,1,0,1711,591,1120,0.345,0.323,0.368,1711 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=0
0.1,0.3,0.2,0,1,1,188,118,70,0.628,0.557,0.693,188 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=1
0.1,0.3,0.2,0,1,2,26,21,5,0.808,0.635,0.901,26 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=2
0.1,0.3,0.2,0,1,3,7,7,0,1,0.756,0.89,7 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=3
0.1,0.3,0.2,0,1,4,2,2,0,1,0.439,0.904,2 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=4
0.1,0.3,0.2,0,1,5,1,1,0,1,0.207,1,1 out of 49895 patients,1st_ALS=0; 2nd_ALS=1; 3rd_ALS=5
0.1,0.3,0.2,0,2,0,118,86,32,0.729,0.644,0.799,118 out of 49895 patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=0
0.1,0.3,0.2,0,2,1,48,47,1,0.979,0.906,0.981,48 out of 49895 patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=1
0.1,0.3,0.2,0,2,2,11,10,1,0.909,0.671,0.935,11 out of 49895 patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=2
0.1,0.3,0.2,0,2,3,4,4,0,1,0.633,0.878,4 out of 49895 patients,1st_ALS=0; 2nd_ALS=2; 3rd_ALS=3
0.1,0.3,0.2,0,3,0,12,12,0,1,0.844,0.914,12 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=0
0.1,0.3,0.2,0,3,1,7,7,0,1,0.756,0.89,7 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=1
0.1,0.3,0.2,0,3,2,4,4,0,1,0.633,0.878,4 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=2
0.1,0.3,0.2,0,3,3,4,4,0,1,0.633,0.878,4 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=3
0.1,0.3,0.2,0,3,4,1,1,0,1,0.207,1,1 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=4
0.1,0.3,0.2,0,3,5,2,2,0,1,0.439,0.904,2 out of 49895 patients,1st_ALS=0; 2nd_ALS=3; 3rd_ALS=5
0.1,0.3,0.2,0,4,0,1,1,0,1,0.207,1,1 out of 49895 patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=0
0.1,0.3,0.2,0,4,1,1,1,0,1,0.207,1,1 out of 49895 patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=1
0.1,0.3,0.2,0,4,2,2,2,0,1,0.439,0.904,2 out of 49895 patients,1st_ALS=0; 2nd_ALS=4; 3rd_ALS=2
0.1,0.3,0.2,1,0,0,1343,537,806,0.4,0.374,0.426,1343 out of 49895 patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=0
0.1,0.3,0.2,1,0,1,111,75,36,0.676,0.586,0.754,111 out of 49895 patients,1st_ALS=1; 2nd_ALS=0; 3rd_ALS=1
